filmid	moziid	datum	nezoszam	bevetel
6	8	1999.01.06	178	38770
9	9	1999.01.06	42	12504
5	10	1999.01.06	172	55080
41	11	1999.01.06	222	48364
39	12	1999.01.06	158	63300
36	13	1999.01.06	57	28048
20	14	1999.01.06	189	94622
19	15	1999.01.06	196	43840
15	16	1999.01.06	120	39260
4	17	1999.01.06	67	34831
22	18	1999.01.06	139	58680
7	19	1999.01.06	126	28086
29	20	1999.01.06	69	15976
23	21	1999.01.06	66	32848
9	22	1999.01.06	65	28850
19	23	1999.01.06	126	43884
5	24	1999.01.06	138	30104
41	25	1999.01.06	96	36164
30	26	1999.01.06	91	36336
1	27	1999.01.06	30	14740
31	28	1999.01.06	126	48732
12	29	1999.01.06	31	11736
21	30	1999.01.06	81	32943
26	31	1999.01.06	32	10316
22	32	1999.01.06	119	48700
15	33	1999.01.06	39	13434
38	34	1999.01.06	152	69868
25	35	1999.01.06	192	56964
2	36	1999.01.06	63	24532
41	37	1999.01.06	128	54292
20	1	1999.01.07	227	111784
11	2	1999.01.07	57	15647
9	3	1999.01.07	175	37375
11	4	1999.01.07	70	15780
15	5	1999.01.07	90	43630
6	6	1999.01.07	112	48400
7	7	1999.01.07	176	75752
39	8	1999.01.07	80	31240
17	9	1999.01.07	61	30170
27	10	1999.01.07	118	55760
3	11	1999.01.07	69	15135
21	12	1999.01.07	251	66760
27	13	1999.01.07	88	20000
20	14	1999.01.07	180	61640
43	15	1999.01.07	55	27250
35	16	1999.01.07	128	37484
20	17	1999.01.07	144	37656
39	18	1999.01.07	40	20360
2	19	1999.01.07	73	21908
35	20	1999.01.07	126	34612
32	21	1999.01.07	140	64740
22	22	1999.01.07	93	43001
10	23	1999.01.07	139	30724
5	24	1999.01.07	156	55856
3	25	1999.01.07	151	40315
21	26	1999.01.07	85	30650
23	27	1999.01.07	68	14688
22	28	1999.01.07	192	92024
4	29	1999.01.07	85	42500
20	30	1999.01.07	75	24975
39	31	1999.01.07	29	10586
24	32	1999.01.07	44	13648
41	33	1999.01.07	44	22256
19	34	1999.01.07	80	36740
26	35	1999.01.07	132	40492
2	36	1999.01.07	62	29892
42	37	1999.01.07	172	79592
32	1	1999.01.08	224	95480
29	2	1999.01.08	202	93412
16	3	1999.01.08	66	21452
43	4	1999.01.08	82	40754
10	5	1999.01.08	101	24021
16	6	1999.01.08	33	7928
44	7	1999.01.08	48	12172
43	8	1999.01.08	62	30554
5	9	1999.01.08	85	17865
32	10	1999.01.08	160	61760
29	11	1999.01.08	111	28895
11	12	1999.01.08	300	140700
4	13	1999.01.08	108	25856
20	14	1999.01.08	176	41376
40	15	1999.01.08	160	47180
8	16	1999.01.08	157	75861
8	17	1999.01.08	70	26900
23	18	1999.01.08	46	11846
44	19	1999.01.08	117	37755
9	20	1999.01.08	176	49100
12	21	1999.01.08	142	35496
7	22	1999.01.08	59	23405
10	23	1999.01.08	52	13192
22	24	1999.01.08	131	57023
10	25	1999.01.08	131	64814
29	26	1999.01.08	153	45900
1	27	1999.01.08	39	20264
27	28	1999.01.08	153	62247
22	29	1999.01.08	31	7300
11	30	1999.01.08	52	14308
4	31	1999.01.08	75	31200
24	32	1999.01.08	100	47600
28	33	1999.01.08	39	19147
17	34	1999.01.08	60	15960
4	35	1999.01.08	177	80296
9	36	1999.01.08	96	24116
2	37	1999.01.08	205	70910
23	1	1999.01.09	188	90824
14	2	1999.01.09	212	55360
33	3	1999.01.09	215	67160
41	4	1999.01.09	75	25600
15	5	1999.01.09	145	68335
34	6	1999.01.09	38	12274
21	7	1999.01.09	93	47835
36	8	1999.01.09	198	52866
28	9	1999.01.09	141	45751
37	10	1999.01.09	82	19594
16	11	1999.01.09	276	55400
37	12	1999.01.09	201	78387
1	13	1999.01.09	144	38648
34	14	1999.01.09	176	59128
5	15	1999.01.09	220	74120
34	16	1999.01.09	95	24585
36	17	1999.01.09	94	36714
41	18	1999.01.09	110	42450
23	19	1999.01.09	52	13708
9	20	1999.01.09	168	71028
38	21	1999.01.09	133	41265
5	22	1999.01.09	137	62091
6	23	1999.01.09	111	32880
20	24	1999.01.09	81	20493
8	25	1999.01.09	96	38956
5	26	1999.01.09	110	49530
32	27	1999.01.09	84	24888
17	28	1999.01.09	282	68180
43	29	1999.01.09	113	57061
31	30	1999.01.09	28	13588
24	31	1999.01.09	133	60550
3	32	1999.01.09	144	36160
28	33	1999.01.09	62	23010
24	34	1999.01.09	158	65590
18	35	1999.01.09	282	121450
13	36	1999.01.09	60	15820
28	37	1999.01.09	105	27260
35	1	1999.01.10	230	48090
13	2	1999.01.10	192	87316
34	3	1999.01.10	257	127144
29	4	1999.01.10	114	24028
26	5	1999.01.10	94	21416
5	6	1999.01.10	64	13400
7	7	1999.01.10	176	61472
28	8	1999.01.10	152	45752
40	9	1999.01.10	47	17990
30	10	1999.01.10	97	23971
25	11	1999.01.10	279	115311
10	12	1999.01.10	220	107640
11	13	1999.01.10	165	62080
22	14	1999.01.10	136	49988
42	15	1999.01.10	86	32260
9	16	1999.01.10	48	11716
8	17	1999.01.10	97	33768
28	18	1999.01.10	29	9543
1	19	1999.01.10	150	71450
22	20	1999.01.10	54	26358
27	21	1999.01.10	204	57108
11	22	1999.01.10	195	62800
39	23	1999.01.10	73	35875
38	24	1999.01.10	122	31898
44	25	1999.01.10	52	19560
23	26	1999.01.10	97	28057
21	27	1999.01.10	117	24568
42	28	1999.01.10	150	68450
17	29	1999.01.10	35	8285
26	30	1999.01.10	54	17316
4	31	1999.01.10	37	8869
17	32	1999.01.10	63	21972
7	33	1999.01.10	82	18712
7	34	1999.01.10	59	21976
24	35	1999.01.10	192	40436
25	36	1999.01.10	34	15302
25	37	1999.01.10	121	29051
6	1	1999.01.11	272	80224
42	2	1999.01.11	110	23760
40	3	1999.01.11	90	42650
44	4	1999.01.11	61	31878
1	5	1999.01.11	127	39354
38	6	1999.01.11	60	27040
13	7	1999.01.11	136	68828
32	8	1999.01.11	176	40548
17	9	1999.01.11	127	30834
12	10	1999.01.11	118	52712
15	11	1999.01.11	285	88880
34	12	1999.01.11	182	91208
24	13	1999.01.11	111	25121
24	14	1999.01.11	193	61037
1	15	1999.01.11	220	110180
31	16	1999.01.11	146	59638
44	17	1999.01.11	126	54190
34	18	1999.01.11	142	54708
32	19	1999.01.11	52	15880
25	20	1999.01.11	46	12188
30	21	1999.01.11	207	82258
7	22	1999.01.11	85	26960
8	23	1999.01.11	81	29412
4	24	1999.01.11	169	45685
24	25	1999.01.11	140	55080
5	26	1999.01.11	108	24516
1	27	1999.01.11	70	23320
21	28	1999.01.11	60	23380
21	29	1999.01.11	104	46896
37	30	1999.01.11	91	27673
37	31	1999.01.11	36	11192
15	32	1999.01.11	144	29944
15	33	1999.01.11	63	26867
39	34	1999.01.11	83	32625
10	35	1999.01.11	246	93334
32	36	1999.01.11	151	73480
27	37	1999.01.11	92	33868
35	1	1999.01.12	64	14848
1	2	1999.01.12	197	42558
44	3	1999.01.12	130	33620
2	4	1999.01.12	39	18482
39	5	1999.01.12	70	31490
32	6	1999.01.12	137	68156
22	7	1999.01.12	111	53280
21	8	1999.01.12	44	10980
39	9	1999.01.12	127	58993
34	10	1999.01.12	149	57514
15	11	1999.01.12	105	36350
24	12	1999.01.12	186	61952
35	13	1999.01.12	45	9800
19	14	1999.01.12	155	72610
38	15	1999.01.12	151	31153
14	16	1999.01.12	97	32540
4	17	1999.01.12	105	37580
2	18	1999.01.12	73	32260
31	19	1999.01.12	161	49778
24	20	1999.01.12	207	95913
23	21	1999.01.12	119	27313
26	22	1999.01.12	78	30676
29	23	1999.01.12	111	49707
16	24	1999.01.12	147	32999
31	25	1999.01.12	144	69244
7	26	1999.01.12	96	23008
34	27	1999.01.12	75	20675
24	28	1999.01.12	147	64022
21	29	1999.01.12	26	9494
7	30	1999.01.12	64	30848
1	31	1999.01.12	89	24931
34	32	1999.01.12	54	20904
44	33	1999.01.12	117	55373
15	34	1999.01.12	78	38204
44	35	1999.01.12	93	42822
3	36	1999.01.12	100	42200
2	37	1999.01.12	134	38886
7	1	1999.01.13	304	101916
33	2	1999.01.13	132	57464
21	3	1999.01.13	172	34844
29	4	1999.01.13	126	60216
26	5	1999.01.13	178	63344
23	6	1999.01.13	105	34820
37	7	1999.01.13	165	49155
43	8	1999.01.13	198	83460
19	9	1999.01.13	40	18720
28	10	1999.01.13	45	16000
15	11	1999.01.13	195	60065
37	12	1999.01.13	120	42620
40	13	1999.01.13	115	24250
35	14	1999.01.13	121	49126
19	15	1999.01.13	160	73220
2	16	1999.01.13	101	32507
15	17	1999.01.13	75	18550
4	18	1999.01.13	110	50580
42	19	1999.01.13	59	25313
2	20	1999.01.13	193	97435
31	21	1999.01.13	105	49185
40	22	1999.01.13	78	17046
40	23	1999.01.13	72	23528
38	24	1999.01.13	172	62464
19	25	1999.01.13	87	35047
3	26	1999.01.13	103	33151
20	27	1999.01.13	30	6490
8	28	1999.01.13	72	16584
7	29	1999.01.13	110	54340
1	30	1999.01.13	27	12275
19	31	1999.01.13	123	29121
13	32	1999.01.13	142	48344
15	33	1999.01.13	118	50478
43	34	1999.01.13	150	41450
25	35	1999.01.13	138	63186
6	36	1999.01.13	97	34462
27	37	1999.01.13	142	47928
1	1	1999.01.14	92	30564
12	2	1999.01.14	127	37349
40	3	1999.01.14	278	135118
14	4	1999.01.14	118	49726
8	5	1999.01.14	193	92103
21	6	1999.01.14	100	23100
12	7	1999.01.14	145	47955
17	8	1999.01.14	180	50220
15	9	1999.01.14	148	61532
40	10	1999.01.14	100	32400
41	11	1999.01.14	177	76787
2	12	1999.01.14	80	21100
15	13	1999.01.14	59	25298
20	14	1999.01.14	96	45528
29	15	1999.01.14	129	45634
7	16	1999.01.14	150	32550
24	17	1999.01.14	136	28216
32	18	1999.01.14	97	20188
26	19	1999.01.14	78	28168
8	20	1999.01.14	163	46540
14	21	1999.01.14	177	85437
40	22	1999.01.14	54	24954
42	23	1999.01.14	70	33830
5	24	1999.01.14	109	44881
1	25	1999.01.14	144	64616
34	26	1999.01.14	110	26450
44	27	1999.01.14	44	13052
19	28	1999.01.14	276	94916
19	29	1999.01.14	106	27978
2	30	1999.01.14	70	30370
36	31	1999.01.14	128	46840
30	32	1999.01.14	113	42280
4	33	1999.01.14	50	17200
10	34	1999.01.14	56	15208
3	35	1999.01.14	294	82432
22	36	1999.01.14	82	25310
23	37	1999.01.14	128	56008
8	1	1999.01.15	294	137792
14	2	1999.01.15	60	20060
18	3	1999.01.15	160	66520
1	4	1999.01.15	147	38467
17	5	1999.01.15	134	62642
6	6	1999.01.15	118	38940
25	7	1999.01.15	162	77716
20	8	1999.01.15	194	41034
27	9	1999.01.15	117	47647
3	10	1999.01.15	50	17650
40	11	1999.01.15	63	22883
28	12	1999.01.15	192	91792
38	13	1999.01.15	37	17354
6	14	1999.01.15	180	40120
23	15	1999.01.15	72	33324
26	16	1999.01.15	122	55734
2	17	1999.01.15	49	19898
29	18	1999.01.15	130	51390
37	19	1999.01.15	77	30629
32	20	1999.01.15	81	22884
35	21	1999.01.15	170	61490
17	22	1999.01.15	254	107688
34	23	1999.01.15	36	8560
39	24	1999.01.15	95	30485
29	25	1999.01.15	181	46112
21	26	1999.01.15	55	13850
19	27	1999.01.15	105	39045
24	28	1999.01.15	255	76835
35	29	1999.01.15	67	21063
17	30	1999.01.15	96	31680
2	31	1999.01.15	110	29520
11	32	1999.01.15	96	40332
11	33	1999.01.15	103	39519
43	34	1999.01.15	57	15791
21	35	1999.01.15	72	34432
36	36	1999.01.15	130	35330
8	37	1999.01.15	81	18067
35	1	1999.01.16	284	98612
18	2	1999.01.16	220	77640
34	3	1999.01.16	178	87030
4	4	1999.01.16	115	45735
40	5	1999.01.16	99	38716
19	6	1999.01.16	96	38692
32	7	1999.01.16	43	14429
34	8	1999.01.16	72	32352
15	9	1999.01.16	110	35380
14	10	1999.01.16	102	41186
22	11	1999.01.16	114	37138
25	12	1999.01.16	201	69237
3	13	1999.01.16	93	28235
24	14	1999.01.16	195	52095
16	15	1999.01.16	170	69510
37	16	1999.01.16	122	28662
5	17	1999.01.16	99	25756
20	18	1999.01.16	140	63740
35	19	1999.01.16	84	23288
9	20	1999.01.16	117	48349
33	21	1999.01.16	85	23055
8	22	1999.01.16	249	54882
44	23	1999.01.16	148	50580
32	24	1999.01.16	39	13831
15	25	1999.01.16	188	56872
12	26	1999.01.16	96	47968
42	27	1999.01.16	82	25256
8	28	1999.01.16	264	75192
41	29	1999.01.16	70	15930
28	30	1999.01.16	46	15182
27	31	1999.01.16	79	24337
16	32	1999.01.16	161	80007
23	33	1999.01.16	79	21445
19	34	1999.01.16	94	45510
4	35	1999.01.16	87	24433
27	36	1999.01.16	110	54420
35	37	1999.01.16	168	72240
28	1	1999.01.17	169	57908
6	2	1999.01.17	145	31080
23	3	1999.01.17	160	56840
17	4	1999.01.17	105	23260
34	5	1999.01.17	143	68568
29	6	1999.01.17	120	35540
39	7	1999.01.17	133	44227
15	8	1999.01.17	176	58128
29	9	1999.01.17	155	52880
38	10	1999.01.17	151	48212
16	11	1999.01.17	288	112996
10	12	1999.01.17	232	102052
31	13	1999.01.17	90	21190
7	14	1999.01.17	115	48950
30	15	1999.01.17	132	63992
12	16	1999.01.17	66	18098
35	17	1999.01.17	49	17550
16	18	1999.01.17	85	19665
15	19	1999.01.17	138	63204
39	20	1999.01.17	205	74815
5	21	1999.01.17	133	30392
25	22	1999.01.17	174	41320
21	23	1999.01.17	82	23488
2	24	1999.01.17	117	57930
40	25	1999.01.17	96	28040
38	26	1999.01.17	137	58244
35	27	1999.01.17	44	11688
15	28	1999.01.17	78	34416
27	29	1999.01.17	96	24768
24	30	1999.01.17	85	39445
11	31	1999.01.17	135	32800
22	32	1999.01.17	207	49417
37	33	1999.01.17	60	25600
18	34	1999.01.17	150	47100
17	35	1999.01.17	252	55880
36	36	1999.01.17	37	13636
15	37	1999.01.17	163	76158
9	1	1999.01.18	96	34924
1	2	1999.01.18	97	21055
15	3	1999.01.18	163	40898
1	4	1999.01.18	63	24228
33	5	1999.01.18	105	32770
41	6	1999.01.18	153	59364
9	7	1999.01.18	163	72583
22	8	1999.01.18	46	18518
16	9	1999.01.18	134	37684
44	10	1999.01.18	36	10960
44	11	1999.01.18	147	48034
3	12	1999.01.18	105	49450
11	13	1999.01.18	97	20573
31	14	1999.01.18	50	15000
27	15	1999.01.18	204	98200
25	16	1999.01.18	101	26150
43	17	1999.01.18	85	32780
27	18	1999.01.18	65	25250
1	19	1999.01.18	49	12090
21	20	1999.01.18	105	26715
32	21	1999.01.18	225	107500
33	22	1999.01.18	182	58248
27	23	1999.01.18	117	32756
34	24	1999.01.18	88	32520
41	25	1999.01.18	71	16020
32	26	1999.01.18	46	13890
34	27	1999.01.18	70	19930
4	28	1999.01.18	273	88452
11	29	1999.01.18	55	15970
21	30	1999.01.18	99	47131
7	31	1999.01.18	95	37825
30	32	1999.01.18	170	42530
27	33	1999.01.18	51	24017
43	34	1999.01.18	136	29204
44	35	1999.01.18	129	53587
43	36	1999.01.18	31	10504
10	37	1999.01.18	46	14588
17	1	1999.01.19	144	53636
17	2	1999.01.19	85	32875
29	3	1999.01.19	127	35382
21	4	1999.01.19	88	41840
25	5	1999.01.19	134	64214
34	6	1999.01.19	104	51356
29	7	1999.01.19	52	25216
31	8	1999.01.19	86	35186
18	9	1999.01.19	43	17114
6	10	1999.01.19	124	46128
17	11	1999.01.19	267	71854
34	12	1999.01.19	120	27820
44	13	1999.01.19	158	63768
19	14	1999.01.19	90	25860
17	15	1999.01.19	67	28772
17	16	1999.01.19	54	24498
33	17	1999.01.19	87	38580
1	18	1999.01.19	130	32360
28	19	1999.01.19	59	20947
11	20	1999.01.19	205	96240
15	21	1999.01.19	184	80220
14	22	1999.01.19	195	70715
32	23	1999.01.19	124	37400
8	24	1999.01.19	126	55450
9	25	1999.01.19	69	28089
1	26	1999.01.19	151	71070
33	27	1999.01.19	105	40440
23	28	1999.01.19	195	66805
39	29	1999.01.19	68	20388
39	30	1999.01.19	26	7792
11	31	1999.01.19	29	14176
15	32	1999.01.19	184	73928
44	33	1999.01.19	32	14464
23	34	1999.01.19	155	35045
31	35	1999.01.19	123	42958
4	36	1999.01.19	151	71066
23	37	1999.01.19	86	20392
1	1	1999.01.20	195	83010
14	2	1999.01.20	50	15650
36	3	1999.01.20	154	38506
15	4	1999.01.20	39	19954
22	5	1999.01.20	46	13706
35	6	1999.01.20	147	54279
9	7	1999.01.20	86	32062
2	8	1999.01.20	184	85072
20	9	1999.01.20	49	18362
2	10	1999.01.20	172	75948
4	11	1999.01.20	258	65300
10	12	1999.01.20	248	118656
16	13	1999.01.20	45	10930
9	14	1999.01.20	48	23472
16	15	1999.01.20	223	109455
9	16	1999.01.20	148	57984
32	17	1999.01.20	82	39558
19	18	1999.01.20	142	67982
25	19	1999.01.20	138	38388
40	20	1999.01.20	119	60129
42	21	1999.01.20	218	97882
31	22	1999.01.20	210	64950
22	23	1999.01.20	31	7909
18	24	1999.01.20	46	12348
4	25	1999.01.20	105	38245
9	26	1999.01.20	72	22536
26	27	1999.01.20	117	42550
7	28	1999.01.20	108	31596
15	29	1999.01.20	92	46556
31	30	1999.01.20	81	29774
11	31	1999.01.20	134	66188
14	32	1999.01.20	63	26915
38	33	1999.01.20	54	13152
31	34	1999.01.20	105	44520
23	35	1999.01.20	81	32014
21	36	1999.01.20	124	28136
10	37	1999.01.20	71	36529
43	1	1999.01.21	240	52540
42	2	1999.01.21	172	81036
44	3	1999.01.21	151	75741
2	4	1999.01.21	58	21460
30	5	1999.01.21	134	55240
44	6	1999.01.21	139	53286
32	7	1999.01.21	102	25602
34	8	1999.01.21	198	74560
19	9	1999.01.21	40	17700
28	10	1999.01.21	131	35053
15	11	1999.01.21	126	27112
21	12	1999.01.21	71	26799
21	13	1999.01.21	68	15856
17	14	1999.01.21	142	52020
39	15	1999.01.21	81	33481
10	16	1999.01.21	42	13268
29	17	1999.01.21	96	40632
9	18	1999.01.21	37	19423
18	19	1999.01.21	36	14888
14	20	1999.01.21	102	50046
18	21	1999.01.21	59	16563
15	22	1999.01.21	122	46430
24	23	1999.01.21	91	23568
40	24	1999.01.21	113	33670
8	25	1999.01.21	195	80285
13	26	1999.01.21	46	21660
36	27	1999.01.21	95	20000
13	28	1999.01.21	240	50900
25	29	1999.01.21	26	12196
2	30	1999.01.21	57	18444
15	31	1999.01.21	102	49770
6	32	1999.01.21	189	89986
42	33	1999.01.21	91	42377
34	34	1999.01.21	123	34656
11	35	1999.01.21	249	119428
36	36	1999.01.21	128	50184
36	37	1999.01.21	134	35506
27	1	1999.01.22	83	38663
41	2	1999.01.22	202	68762
43	3	1999.01.22	190	82160
4	4	1999.01.22	70	28800
43	5	1999.01.22	169	48651
44	6	1999.01.22	35	15160
6	7	1999.01.22	41	22077
6	8	1999.01.22	144	37896
37	9	1999.01.22	105	29965
39	10	1999.01.22	70	15620
5	11	1999.01.22	168	62084
25	12	1999.01.22	71	16004
25	13	1999.01.22	162	74872
39	14	1999.01.22	111	32512
2	15	1999.01.22	93	26254
1	16	1999.01.22	179	40143
22	17	1999.01.22	43	15691
15	18	1999.01.22	88	36832
10	19	1999.01.22	66	23364
39	20	1999.01.22	63	22502
17	21	1999.01.22	64	29716
32	22	1999.01.22	241	67457
11	23	1999.01.22	106	50456
8	24	1999.01.22	122	44776
20	25	1999.01.22	66	30310
29	26	1999.01.22	49	19391
23	27	1999.01.22	67	32923
31	28	1999.01.22	114	43978
26	29	1999.01.22	117	42337
15	30	1999.01.22	100	47100
22	31	1999.01.22	84	36228
7	32	1999.01.22	168	64632
33	33	1999.01.22	86	35216
10	34	1999.01.22	120	30960
33	35	1999.01.22	75	25100
40	36	1999.01.22	58	24660
13	37	1999.01.22	155	56615
36	1	1999.01.23	297	62773
20	2	1999.01.23	80	36840
3	3	1999.01.23	224	100856
23	4	1999.01.23	63	17261
4	5	1999.01.23	202	74828
5	6	1999.01.23	99	36646
16	7	1999.01.23	64	18916
6	8	1999.01.23	62	27530
30	9	1999.01.23	162	36430
18	10	1999.01.23	73	19326
40	11	1999.01.23	168	37920
1	12	1999.01.23	89	42530
24	13	1999.01.23	178	85818
40	14	1999.01.23	205	78165
27	15	1999.01.23	86	22102
3	16	1999.01.23	95	22675
29	17	1999.01.23	64	29076
37	18	1999.01.23	94	42812
20	19	1999.01.23	43	16950
27	20	1999.01.23	100	42100
14	21	1999.01.23	112	28712
42	22	1999.01.23	231	82881
41	23	1999.01.23	130	37160
35	24	1999.01.23	93	33657
5	25	1999.01.23	69	20910
31	26	1999.01.23	48	21972
38	27	1999.01.23	99	50212
15	28	1999.01.23	207	78953
1	29	1999.01.23	52	16572
34	30	1999.01.23	102	43032
4	31	1999.01.23	133	31123
1	32	1999.01.23	44	21208
20	33	1999.01.23	110	36100
19	34	1999.01.23	54	27138
37	35	1999.01.23	129	47056
5	36	1999.01.23	82	30520
5	37	1999.01.23	151	66683
5	1	1999.01.24	92	46808
38	2	1999.01.24	122	47372
35	3	1999.01.24	90	32950
38	4	1999.01.24	117	35568
20	5	1999.01.24	176	43692
30	6	1999.01.24	150	53900
33	7	1999.01.24	81	41114
5	8	1999.01.24	98	34610
29	9	1999.01.24	80	29520
8	10	1999.01.24	97	46566
12	11	1999.01.24	207	49773
7	12	1999.01.24	74	20406
3	13	1999.01.24	57	18313
8	14	1999.01.24	195	52680
6	15	1999.01.24	201	88934
43	16	1999.01.24	74	16822
35	17	1999.01.24	76	30852
11	18	1999.01.24	55	13785
11	19	1999.01.24	57	17386
43	20	1999.01.24	69	17902
5	21	1999.01.24	87	37270
